---------------------------------------------
                   Orthogonal Coordinates  
 No.     Label    xo [Å]   yo [Å]   zo [Å]   
  8475.  Zn56     -0.8654   1.3977   0.6848
  8477.  Zn56     -0.6848   0.8654   1.3977
  8479.  Zn56     -1.3977   0.6848   0.8654
  8518.  Zn56     -1.3977   0.8654   0.6848
  8522.  Zn56     -0.8654   0.6848   1.3977
  8526.  Zn56     -0.6848   1.3977   0.8654
  8578.  Zn57     -0.7658   0.5852   1.7775
  8589.  Zn57     -0.5852   0.7658   1.7775
  8604.  Zn57     -1.7775   0.7658   0.5852
  8609.  Zn57     -1.7775   0.5852   0.7658
  8629.  Zn57     -0.7658   1.7775   0.5852
  8636.  Zn57     -0.5852   1.7775   0.7658
  8682.  Zn58     -1.5845   1.6032   1.4288
  8689.  Zn58     -1.6032   1.5845   1.4288
  8696.  Zn58     -1.4288   1.5845   1.6032
  8703.  Zn58     -1.4288   1.6032   1.5845
  8723.  Zn58     -1.5845   1.4288   1.6032
  8728.  Zn58     -1.6032   1.4288   1.5845
  8774.  Zn59     -1.4911   0.6880   0.7533
  8783.  Zn59     -0.6880   1.4911   0.7533
  8788.  Zn59     -0.7533   1.4911   0.6880
  8803.  Zn59     -0.7533   0.6880   1.4911
  8817.  Zn59     -1.4911   0.7533   0.6880
  8832.  Zn59     -0.6880   0.7533   1.4911
  8857.  Zn6      -2.0452   1.3884   1.7682
  8862.  Zn6      -1.7682   2.0452   1.3884
  8864.  Zn6      -1.3884   1.7682   2.0452
  8904.  Zn6      -1.3884   2.0452   1.7682
  8905.  Zn6      -2.0452   1.7682   1.3884
  8909.  Zn6      -1.7682   1.3884   2.0452
  8929.  Zn61     -1.5502   2.2507   0.9993
  8930.  Zn61     -0.9993   1.5502   2.2507
  8931.  Zn61     -2.2507   0.9993   1.5502
  8944.  Zn61     -2.2507   1.5502   0.9993
  8945.  Zn61     -1.5502   0.9993   2.2507
  8946.  Zn61     -0.9993   2.2507   1.5502
  9028.  Zn62     -0.2864   1.7152   1.1487
  9031.  Zn62     -1.7152   0.2864   1.1487
  9036.  Zn62     -1.1487   0.2864   1.7152
  9038.  Zn62     -1.1487   1.7152   0.2864
  9045.  Zn62     -0.2864   1.1487   1.7152
  9047.  Zn62     -1.7152   1.1487   0.2864
  9126.  Zn63     -1.3386   1.9114   0.6537
  9129.  Zn63     -1.9114   1.3386   0.6537
  9131.  Zn63     -0.6537   1.3386   1.9114
  9133.  Zn63     -0.6537   1.9114   1.3386
  9140.  Zn63     -1.3386   0.6537   1.9114
  9142.  Zn63     -1.9114   0.6537   1.3386
  9221.  Zn64     -0.4483   1.0179   0.2739
  9224.  Zn64     -1.0179   0.4483   0.2739
  9226.  Zn64     -0.2739   0.4483   1.0179
  9231.  Zn64     -0.2739   1.0179   0.4483
  9235.  Zn64     -0.4483   0.2739   1.0179
  9240.  Zn64     -1.0179   0.2739   0.4483
  9337.  Zn66     -1.3168   0.8779   1.1985
  9342.  Zn66     -1.1985   1.3168   0.8779
  9344.  Zn66     -0.8779   1.1985   1.3168
  9384.  Zn66     -0.8779   1.3168   1.1985
  9385.  Zn66     -1.3168   1.1985   0.8779
  9389.  Zn66     -1.1985   0.8779   1.3168
  9444.  Zn67     -1.4413   1.3697   1.0709
  9451.  Zn67     -1.3697   1.4413   1.0709
  9467.  Zn67     -1.0709   1.4413   1.3697
  9474.  Zn67     -1.0709   1.3697   1.4413
  9494.  Zn67     -1.4413   1.0709   1.3697
  9499.  Zn67     -1.3697   1.0709   1.4413
  9545.  Zn68     -1.0148   0.8405   0.9712
  9554.  Zn68     -0.8405   1.0148   0.9712
  9559.  Zn68     -0.9712   1.0148   0.8405
  9565.  Zn68     -0.9712   0.8405   1.0148
  9588.  Zn68     -1.0148   0.9712   0.8405
  9594.  Zn68     -0.8405   0.9712   1.0148
  9637.  Zn69     -0.8965   1.2701   1.4071
  9648.  Zn69     -1.2701   0.8965   1.4071
  9654.  Zn69     -1.4071   0.8965   1.2701
  9668.  Zn69     -1.4071   1.2701   0.8965
  9679.  Zn69     -0.8965   1.4071   1.2701
  9695.  Zn69     -1.2701   1.4071   0.8965
  9732.  Zn7      -0.6288   1.9861   0.8000
  9739.  Zn7      -1.9861   0.6288   0.8000
  9755.  Zn7      -0.8000   0.6288   1.9861
  9762.  Zn7      -0.8000   1.9861   0.6288
  9782.  Zn7      -0.6288   0.8000   1.9861
  9787.  Zn7      -1.9861   0.8000   0.6288
  9818.  Zn71     -0.7845   0.9370   0.7035
  9820.  Zn71     -0.7035   0.7845   0.9370
  9825.  Zn71     -0.9370   0.7035   0.7845
  9863.  Zn71     -0.9370   0.7845   0.7035
  9867.  Zn71     -0.7845   0.7035   0.9370
  9868.  Zn71     -0.7035   0.9370   0.7845
  9923.  Zn72     -1.5191   0.8343   1.4288
  9932.  Zn72     -0.8343   1.5191   1.4288
  9946.  Zn72     -1.4288   1.5191   0.8343
  9952.  Zn72     -1.4288   0.8343   1.5191
  9975.  Zn72     -1.5191   1.4288   0.8343
  9981.  Zn72     -0.8343   1.4288   1.5191
 10024.  Zn73     -1.7121   0.8872   1.2358
 10035.  Zn73     -0.8872   1.7121   1.2358
 10041.  Zn73     -1.2358   1.7121   0.8872
 10046.  Zn73     -1.2358   0.8872   1.7121
 10066.  Zn73     -1.7121   1.2358   0.8872
 10073.  Zn73     -0.8872   1.2358   1.7121
 10119.  Zn74     -1.6032   0.6942   1.2607
 10126.  Zn74     -0.6942   1.6032   1.2607
 10133.  Zn74     -1.2607   1.6032   0.6942
 10149.  Zn74     -1.2607   0.6942   1.6032
 10160.  Zn74     -1.6032   1.2607   0.6942
 10174.  Zn74     -0.6942   1.2607   1.6032
 10203.  Zn76     -1.9923   1.2047   1.3946
 10205.  Zn76     -1.3946   1.9923   1.2047
 10207.  Zn76     -1.2047   1.3946   1.9923
 10246.  Zn76     -1.2047   1.9923   1.3946
 10250.  Zn76     -1.9923   1.3946   1.2047
 10254.  Zn76     -1.3946   1.2047   1.9923
 10306.  Zn77     -1.0024   1.7433   0.9277
 10317.  Zn77     -1.7433   1.0024   0.9277
 10332.  Zn77     -0.9277   1.0024   1.7433
 10337.  Zn77     -0.9277   1.7433   1.0024
 10357.  Zn77     -1.0024   0.9277   1.7433
 10364.  Zn77     -1.7433   0.9277   1.0024
 10410.  Zn78     -0.8747   1.3884   0.3455
 10417.  Zn78     -1.3884   0.8747   0.3455
 10424.  Zn78     -0.3455   0.8747   1.3884
 10431.  Zn78     -0.3455   1.3884   0.8747
 10451.  Zn78     -0.8747   0.3455   1.3884
 10456.  Zn78     -1.3884   0.3455   0.8747
 10502.  Zn79     -0.4794   1.3759   0.8934
 10511.  Zn79     -1.3759   0.4794   0.8934
 10516.  Zn79     -0.8934   0.4794   1.3759
 10531.  Zn79     -0.8934   1.3759   0.4794
 10545.  Zn79     -0.4794   0.8934   1.3759
 10560.  Zn79     -1.3759   0.8934   0.4794
 10601.  Zn8      -0.5728   1.4631   0.3611
 10610.  Zn8      -1.4631   0.5728   0.3611
 10615.  Zn8      -0.3611   0.5728   1.4631
 10621.  Zn8      -0.3611   1.4631   0.5728
 10644.  Zn8      -0.5728   0.3611   1.4631
 10650.  Zn8      -1.4631   0.3611   0.5728
 10657.  Zn81     -1.0242   1.1611   0.8000
 10658.  Zn81     -0.8000   1.0242   1.1611
 10659.  Zn81     -1.1611   0.8000   1.0242
 10672.  Zn81     -1.1611   1.0242   0.8000
 10673.  Zn81     -1.0242   0.8000   1.1611
 10674.  Zn81     -0.8000   1.1611   1.0242
 10756.  Zn82     -1.1393   1.0335   1.5191
 10759.  Zn82     -1.0335   1.1393   1.5191
 10764.  Zn82     -1.5191   1.1393   1.0335
 10766.  Zn82     -1.5191   1.0335   1.1393
 10773.  Zn82     -1.1393   1.5191   1.0335
 10775.  Zn82     -1.0335   1.5191   1.1393
 10854.  Zn83     -1.5969   1.0677   1.2452
 10857.  Zn83     -1.0677   1.5969   1.2452
 10859.  Zn83     -1.2452   1.5969   1.0677
 10861.  Zn83     -1.2452   1.0677   1.5969
 10868.  Zn83     -1.5969   1.2452   1.0677
 10870.  Zn83     -1.0677   1.2452   1.5969
 10949.  Zn84     -1.1736   0.8156   1.0740
 10952.  Zn84     -0.8156   1.1736   1.0740
 10954.  Zn84     -1.0740   1.1736   0.8156
 10959.  Zn84     -1.0740   0.8156   1.1736
 10963.  Zn84     -1.1736   1.0740   0.8156
 10968.  Zn84     -0.8156   1.0740   1.1736
 11065.  Zn86     -0.5977   0.5728   1.2452
 11070.  Zn86     -1.2452   0.5977   0.5728
 11072.  Zn86     -0.5728   1.2452   0.5977
 11112.  Zn86     -0.5728   0.5977   1.2452
 11113.  Zn86     -0.5977   1.2452   0.5728
 11117.  Zn86     -1.2452   0.5728   0.5977
 11172.  Zn87     -1.7090   0.7098   0.8903
 11179.  Zn87     -0.7098   1.7090   0.8903
 11195.  Zn87     -0.8903   1.7090   0.7098
 11202.  Zn87     -0.8903   0.7098   1.7090
 11222.  Zn87     -1.7090   0.8903   0.7098
 11227.  Zn87     -0.7098   0.8903   1.7090
 11273.  Zn88     -1.0024   0.5603   1.5752
 11282.  Zn88     -0.5603   1.0024   1.5752
 11287.  Zn88     -1.5752   1.0024   0.5603
 11293.  Zn88     -1.5752   0.5603   1.0024
 11316.  Zn88     -1.0024   1.5752   0.5603
 11322.  Zn88     -0.5603   1.5752   1.0024
 11365.  Zn89     -1.7495   1.1985   1.7837
 11376.  Zn89     -1.1985   1.7495   1.7837
 11382.  Zn89     -1.7837   1.7495   1.1985
 11396.  Zn89     -1.7837   1.1985   1.7495
 11407.  Zn89     -1.7495   1.7837   1.1985
 11423.  Zn89     -1.1985   1.7837   1.7495
 11461.  Zn9      -0.2148   1.4693   0.8685
 11472.  Zn9      -1.4693   0.2148   0.8685
 11478.  Zn9      -0.8685   0.2148   1.4693
 11492.  Zn9      -0.8685   1.4693   0.2148
 11503.  Zn9      -0.2148   0.8685   1.4693
 11519.  Zn9      -1.4693   0.8685   0.2148
 11546.  Zn91     -1.4849   1.2670   1.4320
 11548.  Zn91     -1.4320   1.4849   1.2670
 11553.  Zn91     -1.2670   1.4320   1.4849
 11591.  Zn91     -1.2670   1.4849   1.4320
 11595.  Zn91     -1.4849   1.4320   1.2670
 11596.  Zn91     -1.4320   1.2670   1.4849
 11651.  Zn92     -1.3074   1.3510   0.6537
 11660.  Zn92     -1.3510   1.3074   0.6537
 11674.  Zn92     -0.6537   1.3074   1.3510
 11680.  Zn92     -0.6537   1.3510   1.3074
 11703.  Zn92     -1.3074   0.6537   1.3510
 11709.  Zn92     -1.3510   0.6537   1.3074
 11752.  Zn93     -0.8063   1.1269   0.7004
 11763.  Zn93     -1.1269   0.8063   0.7004
 11769.  Zn93     -0.7004   0.8063   1.1269
 11774.  Zn93     -0.7004   1.1269   0.8063
 11794.  Zn93     -0.8063   0.7004   1.1269
 11801.  Zn93     -1.1269   0.7004   0.8063
 11847.  Zn94     -0.7845   1.6467   1.0989
 11854.  Zn94     -1.6467   0.7845   1.0989
 11861.  Zn94     -1.0989   0.7845   1.6467
 11877.  Zn94     -1.0989   1.6467   0.7845
 11888.  Zn94     -0.7845   1.0989   1.6467
 11902.  Zn94     -1.6467   1.0989   0.7845
 11931.  Zn96     -1.3074   1.3977   0.8592
 11933.  Zn96     -0.8592   1.3074   1.3977
 11935.  Zn96     -1.3977   0.8592   1.3074
 11974.  Zn96     -1.3977   1.3074   0.8592
 11978.  Zn96     -1.3074   0.8592   1.3977
 11982.  Zn96     -0.8592   1.3977   1.3074
 12034.  Zn97     -0.7471   1.3821   1.6934
 12045.  Zn97     -1.3821   0.7471   1.6934
 12060.  Zn97     -1.6934   0.7471   1.3821
 12065.  Zn97     -1.6934   1.3821   0.7471
 12085.  Zn97     -0.7471   1.6934   1.3821
 12092.  Zn97     -1.3821   1.6934   0.7471
 12138.  Zn98     -1.3853   1.3323   1.0242
 12145.  Zn98     -1.3323   1.3853   1.0242
 12152.  Zn98     -1.0242   1.3853   1.3323
 12159.  Zn98     -1.0242   1.3323   1.3853
 12179.  Zn98     -1.3853   1.0242   1.3323
 12184.  Zn98     -1.3323   1.0242   1.3853
 12230.  Zn99     -0.6444   0.7378   1.0584
 12239.  Zn99     -0.7378   0.6444   1.0584
 12244.  Zn99     -1.0584   0.6444   0.7378
 12259.  Zn99     -1.0584   0.7378   0.6444
 12273.  Zn99     -0.6444   1.0584   0.7378
 12288.  Zn99     -0.7378   1.0584   0.6444
 49159.  Zn1      -1.4662  -1.4600  -0.5479
 49160.  Zn1      -0.5479  -1.4662  -1.4600
 49161.  Zn1      -1.4600  -0.5479  -1.4662
 49174.  Zn1      -1.4600  -1.4662  -0.5479
 49175.  Zn1      -1.4662  -0.5479  -1.4600
 49176.  Zn1      -0.5479  -1.4600  -1.4662
 49255.  Zn101    -1.4755  -0.8187  -1.7183
 49256.  Zn101    -1.7183  -1.4755  -0.8187
 49257.  Zn101    -0.8187  -1.7183  -1.4755
 49270.  Zn101    -0.8187  -1.4755  -1.7183
 49271.  Zn101    -1.4755  -1.7183  -0.8187
 49272.  Zn101    -1.7183  -0.8187  -1.4755
 49345.  Zn102    -1.5565  -1.6436  -0.5292
 49350.  Zn102    -0.5292  -1.6436  -1.5565
 49354.  Zn102    -1.6436  -1.5565  -0.5292
 49359.  Zn102    -1.6436  -0.5292  -1.5565
 49361.  Zn102    -1.5565  -0.5292  -1.6436
 49364.  Zn102    -0.5292  -1.5565  -1.6436
 49443.  Zn103    -0.8063  -0.6848  -0.5697
 49445.  Zn103    -0.5697  -0.6848  -0.8063
 49452.  Zn103    -0.6848  -0.8063  -0.5697
 49454.  Zn103    -0.6848  -0.5697  -0.8063
 49456.  Zn103    -0.8063  -0.5697  -0.6848
 49459.  Zn103    -0.5697  -0.8063  -0.6848
 49538.  Zn104    -1.5783  -0.7720  -1.5160
 49540.  Zn104    -1.5160  -0.7720  -1.5783
 49547.  Zn104    -0.7720  -1.5783  -1.5160
 49549.  Zn104    -0.7720  -1.5160  -1.5783
 49554.  Zn104    -1.5783  -1.5160  -0.7720
 49557.  Zn104    -1.5160  -1.5783  -0.7720
 49675.  Zn106    -1.6810  -1.4537  -0.6942
 49680.  Zn106    -0.6942  -1.6810  -1.4537
 49682.  Zn106    -1.4537  -0.6942  -1.6810
 49722.  Zn106    -1.4537  -1.6810  -0.6942
 49723.  Zn106    -1.6810  -0.6942  -1.4537
 49727.  Zn106    -0.6942  -1.4537  -1.6810
 49753.  Zn107    -1.5876  -0.7658  -1.7090
 49769.  Zn107    -1.7090  -0.7658  -1.5876
 49782.  Zn107    -0.7658  -1.5876  -1.7090
 49796.  Zn107    -0.7658  -1.7090  -1.5876
 49801.  Zn107    -1.5876  -1.7090  -0.7658
 49812.  Zn107    -1.7090  -1.5876  -0.7658
 49856.  Zn108    -1.6094  -1.3230  -0.7098
 49861.  Zn108    -0.7098  -1.3230  -1.6094
 49883.  Zn108    -1.3230  -1.6094  -0.7098
 49890.  Zn108    -1.3230  -0.7098  -1.6094
 49896.  Zn108    -1.6094  -0.7098  -1.3230
 49903.  Zn108    -0.7098  -1.6094  -1.3230
 49950.  Zn109    -0.6101  -0.5043  -0.9308
 49956.  Zn109    -0.9308  -0.5043  -0.6101
 49975.  Zn109    -0.5043  -0.6101  -0.9308
 49981.  Zn109    -0.5043  -0.9308  -0.6101
 49997.  Zn109    -0.6101  -0.9308  -0.5043
 50006.  Zn109    -0.9308  -0.6101  -0.5043
 50060.  Zn11     -1.7931  -0.6755  -1.2701
 50062.  Zn11     -1.2701  -1.7931  -0.6755
 50067.  Zn11     -0.6755  -1.2701  -1.7931
 50105.  Zn11     -0.6755  -1.7931  -1.2701
 50109.  Zn11     -1.7931  -1.2701  -0.6755
 50110.  Zn11     -1.2701  -0.6755  -1.7931
 50156.  Zn111    -1.8055  -1.2078  -0.7627
 50158.  Zn111    -0.7627  -1.8055  -1.2078
 50163.  Zn111    -1.2078  -0.7627  -1.8055
 50201.  Zn111    -1.2078  -1.8055  -0.7627
 50205.  Zn111    -1.8055  -0.7627  -1.2078
 50206.  Zn111    -0.7627  -1.2078  -1.8055
 50234.  Zn112    -1.7619  -0.8094  -1.6654
 50248.  Zn112    -1.6654  -0.8094  -1.7619
 50261.  Zn112    -0.8094  -1.7619  -1.6654
 50277.  Zn112    -0.8094  -1.6654  -1.7619
 50283.  Zn112    -1.7619  -1.6654  -0.8094
 50290.  Zn112    -1.6654  -1.7619  -0.8094
 50337.  Zn113    -1.5160  -1.5969  -0.5323
 50343.  Zn113    -0.5323  -1.5969  -1.5160
 50362.  Zn113    -1.5969  -1.5160  -0.5323
 50368.  Zn113    -1.5969  -0.5323  -1.5160
 50375.  Zn113    -1.5160  -0.5323  -1.5969
 50384.  Zn113    -0.5323  -1.5160  -1.5969
 50428.  Zn114    -0.6350  -0.5728  -0.7471
 50435.  Zn114    -0.7471  -0.5728  -0.6350
 50457.  Zn114    -0.5728  -0.6350  -0.7471
 50462.  Zn114    -0.5728  -0.7471  -0.6350
 50476.  Zn114    -0.6350  -0.7471  -0.5728
 50487.  Zn114    -0.7471  -0.6350  -0.5728
 50541.  Zn116    -1.2701  -1.3479  -0.8747
 50543.  Zn116    -0.8747  -1.2701  -1.3479
 50545.  Zn116    -1.3479  -0.8747  -1.2701
 50584.  Zn116    -1.3479  -1.2701  -0.8747
 50588.  Zn116    -1.2701  -0.8747  -1.3479
 50592.  Zn116    -0.8747  -1.3479  -1.2701
 50619.  Zn117    -1.3635  -0.9494  -1.3915
 50634.  Zn117    -1.3915  -0.9494  -1.3635
 50644.  Zn117    -0.9494  -1.3635  -1.3915
 50659.  Zn117    -0.9494  -1.3915  -1.3635
 50666.  Zn117    -1.3635  -1.3915  -0.9494
 50675.  Zn117    -1.3915  -1.3635  -0.9494
 50719.  Zn118    -1.3790  -1.4102  -0.9993
 50726.  Zn118    -0.9993  -1.4102  -1.3790
 50748.  Zn118    -1.4102  -1.3790  -0.9993
 50753.  Zn118    -1.4102  -0.9993  -1.3790
 50758.  Zn118    -1.3790  -0.9993  -1.4102
 50769.  Zn118    -0.9993  -1.3790  -1.4102
 50813.  Zn119    -0.6662  -1.0210  -1.0117
 50818.  Zn119    -1.0117  -1.0210  -0.6662
 50840.  Zn119    -1.0210  -0.6662  -1.0117
 50847.  Zn119    -1.0210  -1.0117  -0.6662
 50862.  Zn119    -0.6662  -1.0117  -1.0210
 50869.  Zn119    -1.0117  -0.6662  -1.0210
 50906.  Zn12     -1.8678  -1.6405  -1.0926
 50920.  Zn12     -1.0926  -1.6405  -1.8678
 50933.  Zn12     -1.6405  -1.8678  -1.0926
 50949.  Zn12     -1.6405  -1.0926  -1.8678
 50955.  Zn12     -1.8678  -1.0926  -1.6405
 50962.  Zn12     -1.0926  -1.8678  -1.6405
 50983.  Zn121    -1.8242  -1.0740  -0.6133
 50984.  Zn121    -0.6133  -1.8242  -1.0740
 50985.  Zn121    -1.0740  -0.6133  -1.8242
 50998.  Zn121    -1.0740  -1.8242  -0.6133
 50999.  Zn121    -1.8242  -0.6133  -1.0740
 51000.  Zn121    -0.6133  -1.0740  -1.8242
 51073.  Zn122    -1.7713  -1.2670  -1.6592
 51078.  Zn122    -1.6592  -1.2670  -1.7713
 51082.  Zn122    -1.2670  -1.7713  -1.6592
 51087.  Zn122    -1.2670  -1.6592  -1.7713
 51089.  Zn122    -1.7713  -1.6592  -1.2670
 51092.  Zn122    -1.6592  -1.7713  -1.2670
 51171.  Zn123    -1.1456  -1.8429  -0.3424
 51173.  Zn123    -0.3424  -1.8429  -1.1456
 51180.  Zn123    -1.8429  -1.1456  -0.3424
 51182.  Zn123    -1.8429  -0.3424  -1.1456
 51184.  Zn123    -1.1456  -0.3424  -1.8429
 51187.  Zn123    -0.3424  -1.1456  -1.8429
 51266.  Zn124    -0.6880  -0.4607  -0.9432
 51268.  Zn124    -0.9432  -0.4607  -0.6880
 51275.  Zn124    -0.4607  -0.6880  -0.9432
 51277.  Zn124    -0.4607  -0.9432  -0.6880
 51282.  Zn124    -0.6880  -0.9432  -0.4607
 51285.  Zn124    -0.9432  -0.6880  -0.4607
 51403.  Zn126    -1.2078  -1.0740  -1.0864
 51408.  Zn126    -1.0864  -1.2078  -1.0740
 51410.  Zn126    -1.0740  -1.0864  -1.2078
 51450.  Zn126    -1.0740  -1.2078  -1.0864
 51451.  Zn126    -1.2078  -1.0864  -1.0740
 51455.  Zn126    -1.0864  -1.0740  -1.2078
 51481.  Zn127    -1.4724  -1.0771  -1.3012
 51497.  Zn127    -1.3012  -1.0771  -1.4724
 51510.  Zn127    -1.0771  -1.4724  -1.3012
 51524.  Zn127    -1.0771  -1.3012  -1.4724
 51529.  Zn127    -1.4724  -1.3012  -1.0771
 51540.  Zn127    -1.3012  -1.4724  -1.0771
 51584.  Zn128    -1.1020  -1.4071  -0.9432
 51589.  Zn128    -0.9432  -1.4071  -1.1020
 51611.  Zn128    -1.4071  -1.1020  -0.9432
 51618.  Zn128    -1.4071  -0.9432  -1.1020
 51624.  Zn128    -1.1020  -0.9432  -1.4071
 51631.  Zn128    -0.9432  -1.1020  -1.4071
 51678.  Zn129    -0.6973  -0.9557  -1.2856
 51684.  Zn129    -1.2856  -0.9557  -0.6973
 51703.  Zn129    -0.9557  -0.6973  -1.2856
 51709.  Zn129    -0.9557  -1.2856  -0.6973
 51725.  Zn129    -0.6973  -1.2856  -0.9557
 51734.  Zn129    -1.2856  -0.6973  -0.9557
 51777.  Zn13     -0.6164  -1.1331  -0.3455
 51783.  Zn13     -0.3455  -1.1331  -0.6164
 51802.  Zn13     -1.1331  -0.6164  -0.3455
 51808.  Zn13     -1.1331  -0.3455  -0.6164
 51815.  Zn13     -0.6164  -0.3455  -1.1331
 51824.  Zn13     -0.3455  -0.6164  -1.1331
 51884.  Zn131    -1.0553  -1.0179  -0.7409
 51886.  Zn131    -0.7409  -1.0553  -1.0179
 51891.  Zn131    -1.0179  -0.7409  -1.0553
 51929.  Zn131    -1.0179  -1.0553  -0.7409
 51933.  Zn131    -1.0553  -0.7409  -1.0179
 51934.  Zn131    -0.7409  -1.0179  -1.0553
 51962.  Zn132    -0.9526  -1.2732  -1.4537
 51976.  Zn132    -1.4537  -1.2732  -0.9526
 51989.  Zn132    -1.2732  -0.9526  -1.4537
 52005.  Zn132    -1.2732  -1.4537  -0.9526
 52011.  Zn132    -0.9526  -1.4537  -1.2732
 52018.  Zn132    -1.4537  -0.9526  -1.2732
 52065.  Zn133    -0.8249  -1.2047  -1.4942
 52071.  Zn133    -1.4942  -1.2047  -0.8249
 52090.  Zn133    -1.2047  -0.8249  -1.4942
 52096.  Zn133    -1.2047  -1.4942  -0.8249
 52103.  Zn133    -0.8249  -1.4942  -1.2047
 52112.  Zn133    -1.4942  -0.8249  -1.2047
 52156.  Zn134    -1.0646  -1.1020  -1.3884
 52163.  Zn134    -1.3884  -1.1020  -1.0646
 52185.  Zn134    -1.1020  -1.0646  -1.3884
 52190.  Zn134    -1.1020  -1.3884  -1.0646
 52204.  Zn134    -1.0646  -1.3884  -1.1020
 52215.  Zn134    -1.3884  -1.0646  -1.1020
 52269.  Zn136    -1.3106  -0.8187  -1.0709
 52271.  Zn136    -1.0709  -1.3106  -0.8187
 52273.  Zn136    -0.8187  -1.0709  -1.3106
 52312.  Zn136    -0.8187  -1.3106  -1.0709
 52316.  Zn136    -1.3106  -1.0709  -0.8187
 52320.  Zn136    -1.0709  -0.8187  -1.3106
 52347.  Zn137    -1.1207  -1.6343  -1.1518
 52362.  Zn137    -1.1518  -1.6343  -1.1207
 52372.  Zn137    -1.6343  -1.1207  -1.1518
 52387.  Zn137    -1.6343  -1.1518  -1.1207
 52394.  Zn137    -1.1207  -1.1518  -1.6343
 52403.  Zn137    -1.1518  -1.1207  -1.6343
 52447.  Zn138    -0.6226  -1.0242  -1.0428
 52454.  Zn138    -1.0428  -1.0242  -0.6226
 52476.  Zn138    -1.0242  -0.6226  -1.0428
 52481.  Zn138    -1.0242  -1.0428  -0.6226
 52486.  Zn138    -0.6226  -1.0428  -1.0242
 52497.  Zn138    -1.0428  -0.6226  -1.0242
 52541.  Zn139    -1.4693  -0.9277  -1.3821
 52546.  Zn139    -1.3821  -0.9277  -1.4693
 52568.  Zn139    -0.9277  -1.4693  -1.3821
 52575.  Zn139    -0.9277  -1.3821  -1.4693
 52590.  Zn139    -1.4693  -1.3821  -0.9277
 52597.  Zn139    -1.3821  -1.4693  -0.9277
 52636.  Zn14     -1.1269  -0.5759  -1.5160
 52643.  Zn14     -1.5160  -0.5759  -1.1269
 52665.  Zn14     -0.5759  -1.1269  -1.5160
 52670.  Zn14     -0.5759  -1.5160  -1.1269
 52684.  Zn14     -1.1269  -1.5160  -0.5759
 52695.  Zn14     -1.5160  -1.1269  -0.5759
 52711.  Zn141    -1.4662  -1.1207  -0.5074
 52712.  Zn141    -0.5074  -1.4662  -1.1207
 52713.  Zn141    -1.1207  -0.5074  -1.4662
 52726.  Zn141    -1.1207  -1.4662  -0.5074
 52727.  Zn141    -1.4662  -0.5074  -1.1207
 52728.  Zn141    -0.5074  -1.1207  -1.4662
 52801.  Zn142    -1.2576  -1.2047  -1.8398
 52806.  Zn142    -1.8398  -1.2047  -1.2576
 52810.  Zn142    -1.2047  -1.2576  -1.8398
 52815.  Zn142    -1.2047  -1.8398  -1.2576
 52817.  Zn142    -1.2576  -1.8398  -1.2047
 52820.  Zn142    -1.8398  -1.2576  -1.2047
 52899.  Zn143    -1.2358  -1.8366  -0.7938
 52901.  Zn143    -0.7938  -1.8366  -1.2358
 52908.  Zn143    -1.8366  -1.2358  -0.7938
 52910.  Zn143    -1.8366  -0.7938  -1.2358
 52912.  Zn143    -1.2358  -0.7938  -1.8366
 52915.  Zn143    -0.7938  -1.2358  -1.8366
 52994.  Zn144    -0.5354  -0.8872  -0.9744
 52996.  Zn144    -0.9744  -0.8872  -0.5354
 53003.  Zn144    -0.8872  -0.5354  -0.9744
 53005.  Zn144    -0.8872  -0.9744  -0.5354
 53010.  Zn144    -0.5354  -0.9744  -0.8872
 53013.  Zn144    -0.9744  -0.5354  -0.8872
 53131.  Zn146    -1.4413  -1.4195  -0.5666
 53136.  Zn146    -0.5666  -1.4413  -1.4195
 53138.  Zn146    -1.4195  -0.5666  -1.4413
 53178.  Zn146    -1.4195  -1.4413  -0.5666
 53179.  Zn146    -1.4413  -0.5666  -1.4195
 53183.  Zn146    -0.5666  -1.4195  -1.4413
 53209.  Zn147    -1.8833  -0.8249  -1.7588
 53225.  Zn147    -1.7588  -0.8249  -1.8833
 53238.  Zn147    -0.8249  -1.8833  -1.7588
 53252.  Zn147    -0.8249  -1.7588  -1.8833
 53257.  Zn147    -1.8833  -1.7588  -0.8249
 53268.  Zn147    -1.7588  -1.8833  -0.8249
 53312.  Zn148    -1.3168  -1.7837  -0.7066
 53317.  Zn148    -0.7066  -1.7837  -1.3168
 53339.  Zn148    -1.7837  -1.3168  -0.7066
 53346.  Zn148    -1.7837  -0.7066  -1.3168
 53352.  Zn148    -1.3168  -0.7066  -1.7837
 53359.  Zn148    -0.7066  -1.3168  -1.7837
 53406.  Zn149    -0.2615  -0.5354  -1.0677
 53412.  Zn149    -1.0677  -0.5354  -0.2615
 53431.  Zn149    -0.5354  -0.2615  -1.0677
 53437.  Zn149    -0.5354  -1.0677  -0.2615
 53453.  Zn149    -0.2615  -1.0677  -0.5354
 53462.  Zn149    -1.0677  -0.2615  -0.5354
 53516.  Zn151    -1.3074  -1.4444  -0.9245
 53518.  Zn151    -0.9245  -1.3074  -1.4444
 53523.  Zn151    -1.4444  -0.9245  -1.3074
 53561.  Zn151    -1.4444  -1.3074  -0.9245
 53565.  Zn151    -1.3074  -0.9245  -1.4444
