---------------------------------------------
                   Orthogonal Coordinates  
 No.     Label    xo [Å]   yo [Å]   zo [Å]   
  1934.  Zn122    -1.6592   1.7713   1.2670
  1941.  Zn122    -1.2670   1.6592   1.7713
  1943.  Zn122    -1.7713   1.6592   1.2670
  2022.  Zn123    -1.8429   1.1456   0.3424
  2025.  Zn123    -1.1456   1.8429   0.3424
  2027.  Zn123    -0.3424   1.8429   1.1456
  2029.  Zn123    -0.3424   1.1456   1.8429
  2036.  Zn123    -1.8429   0.3424   1.1456
  2038.  Zn123    -1.1456   0.3424   1.8429
  2117.  Zn124    -0.4607   0.6880   0.9432
  2120.  Zn124    -0.6880   0.4607   0.9432
  2122.  Zn124    -0.9432   0.4607   0.6880
  2127.  Zn124    -0.9432   0.6880   0.4607
  2131.  Zn124    -0.4607   0.9432   0.6880
  2136.  Zn124    -0.6880   0.9432   0.4607
  2233.  Zn126    -1.2078   1.0740   1.0864
  2238.  Zn126    -1.0864   1.2078   1.0740
  2240.  Zn126    -1.0740   1.0864   1.2078
  2280.  Zn126    -1.0740   1.2078   1.0864
  2281.  Zn126    -1.2078   1.0864   1.0740
  2285.  Zn126    -1.0864   1.0740   1.2078
  2340.  Zn127    -1.0771   1.4724   1.3012
  2347.  Zn127    -1.4724   1.0771   1.3012
  2363.  Zn127    -1.3012   1.0771   1.4724
  2370.  Zn127    -1.3012   1.4724   1.0771
  2390.  Zn127    -1.0771   1.3012   1.4724
  2395.  Zn127    -1.4724   1.3012   1.0771
  2441.  Zn128    -1.4071   1.1020   0.9432
  2450.  Zn128    -1.1020   1.4071   0.9432
  2455.  Zn128    -0.9432   1.4071   1.1020
  2461.  Zn128    -0.9432   1.1020   1.4071
  2484.  Zn128    -1.4071   0.9432   1.1020
  2490.  Zn128    -1.1020   0.9432   1.4071
  2533.  Zn129    -0.9557   0.6973   1.2856
  2544.  Zn129    -0.6973   0.9557   1.2856
  2550.  Zn129    -1.2856   0.9557   0.6973
  2564.  Zn129    -1.2856   0.6973   0.9557
  2575.  Zn129    -0.9557   1.2856   0.6973
  2591.  Zn129    -0.6973   1.2856   0.9557
  2632.  Zn13     -1.1331   0.6164   0.3455
  2643.  Zn13     -0.6164   1.1331   0.3455
  2649.  Zn13     -0.3455   1.1331   0.6164
  2654.  Zn13     -0.3455   0.6164   1.1331
  2674.  Zn13     -1.1331   0.3455   0.6164
  2681.  Zn13     -0.6164   0.3455   1.1331
  2714.  Zn131    -1.0553   1.0179   0.7409
  2716.  Zn131    -0.7409   1.0553   1.0179
  2721.  Zn131    -1.0179   0.7409   1.0553
  2759.  Zn131    -1.0179   1.0553   0.7409
  2763.  Zn131    -1.0553   0.7409   1.0179
  2764.  Zn131    -0.7409   1.0179   1.0553
  2819.  Zn132    -1.2732   0.9526   1.4537
  2828.  Zn132    -0.9526   1.2732   1.4537
  2842.  Zn132    -1.4537   1.2732   0.9526
  2848.  Zn132    -1.4537   0.9526   1.2732
  2871.  Zn132    -1.2732   1.4537   0.9526
  2877.  Zn132    -0.9526   1.4537   1.2732
  2920.  Zn133    -1.2047   0.8249   1.4942
  2931.  Zn133    -0.8249   1.2047   1.4942
  2937.  Zn133    -1.4942   1.2047   0.8249
  2942.  Zn133    -1.4942   0.8249   1.2047
  2962.  Zn133    -1.2047   1.4942   0.8249
  2969.  Zn133    -0.8249   1.4942   1.2047
  3015.  Zn134    -1.1020   1.0646   1.3884
  3022.  Zn134    -1.0646   1.1020   1.3884
  3029.  Zn134    -1.3884   1.1020   1.0646
  3045.  Zn134    -1.3884   1.0646   1.1020
  3056.  Zn134    -1.1020   1.3884   1.0646
  3070.  Zn134    -1.0646   1.3884   1.1020
  3099.  Zn136    -1.3106   0.8187   1.0709
  3101.  Zn136    -1.0709   1.3106   0.8187
  3103.  Zn136    -0.8187   1.0709   1.3106
  3142.  Zn136    -0.8187   1.3106   1.0709
  3146.  Zn136    -1.3106   1.0709   0.8187
  3150.  Zn136    -1.0709   0.8187   1.3106
  3202.  Zn137    -1.6343   1.1207   1.1518
  3213.  Zn137    -1.1207   1.6343   1.1518
  3228.  Zn137    -1.1518   1.6343   1.1207
  3233.  Zn137    -1.1518   1.1207   1.6343
  3253.  Zn137    -1.6343   1.1518   1.1207
  3260.  Zn137    -1.1207   1.1518   1.6343
  3306.  Zn138    -1.0242   0.6226   1.0428
  3313.  Zn138    -0.6226   1.0242   1.0428
  3320.  Zn138    -1.0428   1.0242   0.6226
  3327.  Zn138    -1.0428   0.6226   1.0242
  3347.  Zn138    -1.0242   1.0428   0.6226
  3352.  Zn138    -0.6226   1.0428   1.0242
  3398.  Zn139    -0.9277   1.4693   1.3821
  3407.  Zn139    -1.4693   0.9277   1.3821
  3412.  Zn139    -1.3821   0.9277   1.4693
  3427.  Zn139    -1.3821   1.4693   0.9277
  3441.  Zn139    -0.9277   1.3821   1.4693
  3456.  Zn139    -1.4693   1.3821   0.9277
  3495.  Zn14     -0.5759   1.1269   1.5160
  3502.  Zn14     -1.1269   0.5759   1.5160
  3509.  Zn14     -1.5160   0.5759   1.1269
  3525.  Zn14     -1.5160   1.1269   0.5759
  3536.  Zn14     -0.5759   1.5160   1.1269
  3550.  Zn14     -1.1269   1.5160   0.5759
  3553.  Zn141    -1.4662   1.1207   0.5074
  3554.  Zn141    -0.5074   1.4662   1.1207
  3555.  Zn141    -1.1207   0.5074   1.4662
  3568.  Zn141    -1.1207   1.4662   0.5074
  3569.  Zn141    -1.4662   0.5074   1.1207
  3570.  Zn141    -0.5074   1.1207   1.4662
  3652.  Zn142    -1.2047   1.2576   1.8398
  3655.  Zn142    -1.2576   1.2047   1.8398
  3660.  Zn142    -1.8398   1.2047   1.2576
  3662.  Zn142    -1.8398   1.2576   1.2047
  3669.  Zn142    -1.2047   1.8398   1.2576
  3671.  Zn142    -1.2576   1.8398   1.2047
  3750.  Zn143    -1.8366   1.2358   0.7938
  3753.  Zn143    -1.2358   1.8366   0.7938
  3755.  Zn143    -0.7938   1.8366   1.2358
  3757.  Zn143    -0.7938   1.2358   1.8366
  3764.  Zn143    -1.8366   0.7938   1.2358
  3766.  Zn143    -1.2358   0.7938   1.8366
  3845.  Zn144    -0.8872   0.5354   0.9744
  3848.  Zn144    -0.5354   0.8872   0.9744
  3850.  Zn144    -0.9744   0.8872   0.5354
  3855.  Zn144    -0.9744   0.5354   0.8872
  3859.  Zn144    -0.8872   0.9744   0.5354
  3864.  Zn144    -0.5354   0.9744   0.8872
  3961.  Zn146    -1.4413   1.4195   0.5666
  3966.  Zn146    -0.5666   1.4413   1.4195
  3968.  Zn146    -1.4195   0.5666   1.4413
  4008.  Zn146    -1.4195   1.4413   0.5666
